Id,SalePrice
1461,129000
1462,158000
1463,130000
1464,181000
1465,245500
1466,167900
1467,162000
1468,178900
1469,180000
1470,120500
1471,180000
1472,100000
1473,85000
1474,148500
1475,133000
1476,412500
1477,205000
1478,320000
1479,319000
1480,184750
1481,325624
1482,202500
1483,169990
1484,160200
1485,170000
1486,195000
1487,341000
1488,256300
1489,194000
1490,149900
1491,195000
1492,88000
1493,180000
1494,290000
1495,305000
1496,221000
1497,224500
1498,151000
1499,151000
1500,124000
1501,172500
1502,151000
1503,244600
1504,230000
1505,221000
1506,190000
1507,151400
1508,197500
1509,154000
1510,98600
1511,140000
1512,167000
1513,178000
1514,207500
1515,160000
1516,140000
1517,125000
1518,143000
1519,213000
1520,141000
1521,155000
1522,181000
1523,105000
1524,128000
1525,128500
1526,119000
1527,145000
1528,132500
1529,157000
1530,166000
1531,179500
1532,132000
1533,164500
1534,120000
1535,149000
1536,135000
1537,120500
1538,164000
1539,225000
1540,225000
1541,173500
1542,127000
1543,234000
1544,80000
1545,118000
1546,148000
1547,133000
1548,132500
1549,139000
1550,130000
1551,154500
1552,214000
1553,135000
1554,118000
1555,207500
1556,135000
1557,132000
1558,88000
1559,138887
1560,137000
1561,170000
1562,138500
1563,130000
1564,164500
1565,125000
1566,213000
1567,79900
1568,211000
1569,135000
1570,140000
1571,137500
1572,157000
1573,190000
1574,153000
1575,192000
1576,204750
1577,194000
1578,179900
1579,132500
1580,191000
1581,133000
1582,112500
1583,440000
1584,233000
1585,131500
1586,80000
1587,119000
1588,157000
1589,103000
1590,125000
1591,108500
1592,147000
1593,131500
1594,138887
1595,138887
1596,234000
1597,135000
1598,170000
1599,132000
1600,170000
1601,68500
1602,134900
1603,106500
1604,275000
1605,250000
1606,171500
1607,190000
1608,206300
1609,178000
1610,167500
1611,153337
1612,218000
1613,164500
1614,132000
1615,88000
1616,88000
1617,88000
1618,127000
1619,137000
1620,217500
1621,139000
1622,169500
1623,324000
1624,136500
1625,127500
1626,175000
1627,192000
1628,230000
1629,170000
1630,278000
1631,180500
1632,328900
1633,170000
1634,175000
1635,174000
1636,162000
1637,135000
1638,205000
1639,127500
1640,315000
1641,230000
1642,230000
1643,280000
1644,172500
1645,167000
1646,155000
1647,170000
1648,157000
1649,128900
1650,120500
1651,120500
1652,100000
1653,94500
1654,155000
1655,187500
1656,148500
1657,155000
1658,148500
1659,133000
1660,147000
1661,437154
1662,333168
1663,402861
1664,755000
1665,377500
1666,147000
1667,315000
1668,318000
1669,285000
1670,374000
1671,260000
1672,611657
1673,309000
1674,256300
1675,163000
1676,196000
1677,224000
1678,386250
1679,271900
1680,318061
1681,192000
1682,372402
1683,185500
1684,179540
1685,174000
1686,185000
1687,170000
1688,176500
1689,195000
1690,180000
1691,161000
1692,219210
1693,170000
1694,178900
1695,170000
1696,290000
1697,170000
1698,403000
1699,372500
1700,274300
1701,240000
1702,318000
1703,249700
1704,306000
1705,180500
1706,611657
1707,192000
1708,179600
1709,315500
1710,232600
1711,239900
1712,230000
1713,240000
1714,201000
1715,183000
1716,178000
1717,160200
1718,158500
1719,195000
1720,287090
1721,155000
1722,147000
1723,159000
1724,192000
1725,263000
1726,187000
1727,167900
1728,179400
1729,149500
1730,163000
1731,135000
1732,129000
1733,62383
1734,85000
1735,120000
1736,114500
1737,369900
1738,239000
1739,260000
1740,150900
1741,145000
1742,172500
1743,183900
1744,307000
1745,260000
1746,170000
1747,215000
1748,151400
1749,153000
1750,150000
1751,226000
1752,133500
1753,167000
1754,192000
1755,181000
1756,110000
1757,133500
1758,87000
1759,160000
1760,164500
1761,153000
1762,215000
1763,181000
1764,108500
1765,200000
1766,175000
1767,179200
1768,141000
1769,180000
1770,126000
1771,139000
1772,170000
1773,139000
1774,125000
1775,154500
1776,147000
1777,109500
1778,124500
1779,109500
1780,143000
1781,125000
1782,100000
1783,139000
1784,75000
1785,142125
1786,135000
1787,140000
1788,68500
1789,137000
1790,80000
1791,239000
1792,145250
1793,137500
1794,147000
1795,171000
1796,140000
1797,134900
1798,124500
1799,80000
1800,135000
1801,105000
1802,175000
1803,140000
1804,132500
1805,154500
1806,119500
1807,130000
1808,167500
1809,135000
1810,139000
1811,98000
1812,135000
1813,135000
1814,141000
1815,35311
1816,109500
1817,157500
1818,136900
1819,112000
1820,105000
1821,137450
1822,173900
1823,91000
1824,165000
1825,140000
1826,112000
1827,134500
1828,133000
1829,145000
1830,175000
1831,200100
1832,135000
1833,143000
1834,112000
1835,250000
1836,139000
1837,58500
1838,135000
1839,80000
1840,125000
1841,141000
1842,95000
1843,145000
1844,140000
1845,79000
1846,142500
1847,169000
1848,80000
1849,90000
1850,108480
1851,188700
1852,141000
1853,135000
1854,160200
1855,143500
1856,189000
1857,126000
1858,142953
1859,118858
1860,153337
1861,118858
1862,290000
1863,290000
1864,290000
1865,367294
1866,337500
1867,244600
1868,230000
1869,193879
1870,194000
1871,279500
1872,159500
1873,239000
1874,126000
1875,192000
1876,231500
1877,192000
1878,221000
1879,125000
1880,130000
1881,266000
1882,255000
1883,183500
1884,230000
1885,274000
1886,230000
1887,185500
1888,232000
1889,156932
1890,129000
1891,140000
1892,116050
1893,130000
1894,207500
1895,144500
1896,160000
1897,117000
1898,118000
1899,160000
1900,135000
1901,152000
1902,155000
1903,260000
1904,144000
1905,167000
1906,127000
1907,190000
1908,124000
1909,124000
1910,124000
1911,178000
1912,244000
1913,122500
1914,68500
1915,275000
1916,80000
1917,250000
1918,124000
1919,143500
1920,153500
1921,378500
1922,248900
1923,129500
1924,191000
1925,200000
1926,440000
1927,134500
1928,175000
1929,124900
1930,140000
1931,135000
1932,106000
1933,157500
1934,181000
1935,174000
1936,181000
1937,130000
1938,170000
1939,232000
1940,245500
1941,175000
1942,185000
1943,180000
1944,290000
1945,377426
1946,149500
1947,328900
1948,217000
1949,240000
1950,187750
1951,375000
1952,260000
